Date,Close
2015-01-02,170.12506103515625
2015-01-05,167.05262756347656
2015-01-06,165.47911071777344
2015-01-07,167.5411834716797
2015-01-08,170.51422119140625
2015-01-09,169.14779663085938
2015-01-12,167.82276916503906
2015-01-13,167.3507080078125
2015-01-14,166.3404083251953
2015-01-15,164.8166046142578
2015-01-16,166.97804260253906
2015-01-20,167.33416748046875
2015-01-21,168.17884826660156
2015-01-22,170.67990112304688
2015-01-23,169.74407958984375
2015-01-26,170.1415557861328
2015-01-27,167.89727783203125
2015-01-28,165.74417114257812
2015-01-29,167.2762451171875
2015-01-30,165.17274475097656
2015-02-02,167.21823120117188
2015-02-03,169.63638305664062
2015-02-04,168.990478515625
2015-02-05,170.6964111328125
2015-02-06,170.22438049316406
2015-02-09,169.46249389648438
2015-02-10,171.2678680419922
2015-02-11,171.36720275878906
2015-02-12,173.01519775390625
2015-02-13,173.7274627685547
2015-02-17,174.0006866455078
2015-02-18,174.0172576904297
2015-02-19,173.8930206298828
2015-02-20,174.9365234375
2015-02-23,174.91171264648438
2015-02-24,175.40855407714844
2015-02-25,175.2594757080078
2015-02-26,175.05242919921875
2015-02-27,174.45620727539062
2015-03-02,175.55760192871094
2015-03-03,174.83714294433594
2015-03-04,174.10011291503906
2015-03-05,174.29058837890625
2015-03-06,171.83921813964844
2015-03-09,172.55145263671875
2015-03-10,169.75230407714844
2015-03-11,169.35482788085938
2015-03-12,171.50799560546875
2015-03-13,170.45626831054688
2015-03-16,172.73362731933594
2015-03-17,172.2201690673828
2015-03-18,174.29058837890625
2015-03-19,173.49557495117188
2015-03-20,175.0269317626953
2015-03-23,174.68588256835938
2015-03-24,173.70433044433594
2015-03-25,171.1588897705078
2015-03-26,170.7512664794922
2015-03-27,171.14230346679688
2015-03-30,173.23019409179688
2015-03-31,171.71624755859375
2015-04-01,171.10897827148438
2015-04-02,171.7244873046875
2015-04-06,172.88079833984375
2015-04-07,172.4232635498047
2015-04-08,173.00558471679688
2015-04-09,173.77085876464844
2015-04-10,174.71922302246094
2015-04-13,173.9289093017578
2015-04-14,174.2616729736328
2015-04-15,175.0435791015625
2015-04-16,174.99365234375
2015-04-17,172.9806365966797
2015-04-20,174.5611114501953
2015-04-21,174.35324096679688
2015-04-22,175.20993041992188
